,0
0,261.95
1,257.21
2,258.7
3,269.47
4,269.24
5,265.09
6,269.75
7,266.41
8,265.94
9,265.42
10,259.87
11,259.36
12,263.25
13,264.27
14,265.74
15,273.11
16,275.59
17,273.79
18,273.88
19,274.19
20,271.24
21,274.13
22,275.1
23,265.74
24,261.82
25,257.89
26,256.41
27,257.278
28,253.39
29,257.75
30,256.02
31,260.31
32,265.3
33,266.49
34,261.61
35,263.322
36,259.03
37,259.08
38,255.48
39,258.95
40,261.14
41,264.77
42,269.85
43,272.87
44,267.72
45,272.34
46,267.4
47,259.42
48,260.32
49,263.55
50,268.9
51,268.78
52,274.7
53,254.81
54,249.74
55,253.81
56,248.23
57,252.55
58,258.05
59,255.72
60,257.73
61,258.68
62,260.16
63,263.63
64,264.51
65,268.33
66,266.56
67,264.12
68,269.9
69,267.63
70,268.86
71,262.96
72,261.8
73,261.74
74,267.29
75,265.53
76,266.83
77,269.2
78,266.88
79,265.7
80,267.17
81,267.83
82,276.87
83,281.07
84,274.78
85,271.67
86,275.79
87,273.99
88,278.06
89,281.76
90,278.16
91,273.44
92,273.36
93,270.61
94,272.08799999999997
95,277.57
96,277.55
97,277.69
98,282.1
99,283.73
100,284.03
101,285.88
102,290.59
103,291.53
104,292.33
105,299.66
106,307.55
107,306.57
108,306.87
109,308.69
110,304.11
111,305.23
112,303.48
113,301.06
114,298.94
115,303.4
116,312.01
117,306.1
118,302.41
119,301.22
120,305.57
121,304.21
122,300.99
123,300.75
124,296.91
125,295.74
126,297.26
127,296.69
128,293.97
129,291.34
130,286.47
131,284.82
132,285.57
133,287.09
134,284.57
135,289.73
136,290.01
137,286.21
138,280.93
139,281.58
140,283.98
141,280.98
142,288.8
143,293.64
144,294.1
145,295.86
146,299.71
147,300.36
148,299.64
149,298.86
150,297.92
151,296.06
152,304.17
153,312.034
154,312.06
155,316.34
156,311.49
157,314.13
158,312.65
159,318.12
160,316.01
161,312.64
162,320.95
163,320.51
164,314.76
165,319.04
166,310.03
167,303.23
168,298.23
169,305.17400000000004
170,310.889
171,310.7
172,306.4
173,310.49
174,310.77
175,328.931
176,326.44
177,332.54
178,326.756
179,332.21
180,363.39
181,358.16
182,362.7
183,361.08
184,364.03
185,359.00199999999995
186,358.74
187,358.892
188,356.18
189,343.56
190,350.31
191,354.37800000000004
192,349.53
193,356.22
194,367.39599999999996
195,369.17
196,366.18
197,364.94
198,362.57
199,368.92
200,372.31
201,376.64
202,381.37
203,386.71
204,393.62
205,392.3
206,384.66
207,385.96
208,384.49
209,386.95
210,384.89
211,387.78
212,382.19
213,381.25
214,384.24
215,388.97
216,387.65
217,395.96
218,395.19
219,402.2
220,402.92
221,399.2
222,404.39
223,398.08
224,393.37
225,398.79
226,397.97
227,396.44
228,393.63
229,398.03
230,401.92
231,401.01
232,397.66
233,390.98
234,397.54
235,395.87
236,395.8
237,399.61
238,407.05
239,404.54
240,399.87
241,387.6
242,386.28
243,394.43
244,384.2
245,403.01
246,358.69
247,346.15
248,347.95
249,346.45
250,354.59
251,361.08
252,360.87
253,361.79
254,349.25
255,357.2
256,357.35
257,353.65
258,347.38
259,349.8
260,346.76
261,351.78
262,358.32
263,359.8
264,360.13
265,362.1
266,359.78
267,363.9
268,372.37
269,372.16
